province, district, name, HMIS_code, facility_type,   latitude, longitude
Lusaka,Lusaka,Matero Hospital,50060183,Health Centre,-15.37282778,28.26445361
Lusaka,Lusaka,Ministry Of Health HQ Health Post,50060194,Health Centre,-15.4155313,28.31893327
Lusaka,Lusaka,Mtendere,50060198,Health Centre,, 
Lusaka,Lusaka,Ng'ombe,50060211,Health Centre,-15.36727264,28.32386913
Lusaka,Lusaka,Nipa Health Post,5006XX40,Health Centre,-15.41898886,28.29060277
Central,Kabwe,Kohima Camp Hospital,10050028,Health Centre,,
Lusaka,Lusaka,Sikanze Police Hospital,50060255,Health Centre,,
Lusaka,Lusaka,St. Agnes's,50060263,Health Centre,-15.4147392,28.3837546
Lusaka,Lusaka,State House Clinic,50060268,Health Centre,-15.4287791,28.32549351
Lusaka,Lusaka,State Lodge,50060269,Health Centre,-15.44740873,28.44181205
Lusaka,Lusaka,Twatasha Health Post,50060279,Health Centre,-15.385653,28.245858
Central,Kabwe,Mahatma Ghandhi Memorial,10050030,Health Centre,-14.43556647,28.46149686
Lusaka,Lusaka,University of Zambia Clinic,50060281,Health Centre,-15.39222886,28.32645732
Lusaka,Lusaka,ZNS Makeni Garrison Health Post,50060311,Health Centre,,
Lusaka,Rufunsa,Bunda Bunda Health Post,50070001,Health Centre,-15.26459634,29.03036054
Lusaka,Rufunsa,Chifundo,50070002,Health Centre,-15.37004842,28.82162722
Lusaka,Rufunsa,Chimusanya Health Post,50070004,Health Centre,-15.08668468,29.57155083
Lusaka,Rufunsa,Chinyunyu,50070005,Health Centre,-15.2638769,28.99804682
Lusaka,Rufunsa,Chitemalesa Health Post,50070007,Health Centre,-15.26787953,28.91210144
Central,Kabwe,Makululu,10050031,Health Centre,-14.44525562,28.41361691
Lusaka,Rufunsa,Chiyota,50070008,Health Centre,-15.21264979,28.83653532
Lusaka,Rufunsa,Kankumba,50070009,Health Centre,-15.24311502,29.15824017
Lusaka,Rufunsa,Kanyongoloka Health Post,50070010,Health Centre,-15.2044464,29.22100796
Lusaka,Rufunsa,Kapanda Health Post,50070011,Health Centre,-15.34030214,28.82938057
Lusaka,Rufunsa,Kazemba Health Post,50070012,Health Centre,-15.34030214,28.82938057
Lusaka,Rufunsa,Luangwa Bridge Health Post,50070013,Health Centre,-14.98994096,30.21181852
Lusaka,Rufunsa,Lukwipa,50070014,Health Centre,-15.03624023,29.89820698
Lusaka,Rufunsa,Mpanshya (St. Luke) Mission Hospital,50070015,Health Centre,-15.10822526,29.72496893
Central,Kabwe,Makupu A Health Post,10050032,Health Centre,-14.41594833,28.31035
Lusaka,Rufunsa,Munyeta Health Post,50070018,Health Centre,-15.11514294,28.920999
Lusaka,Rufunsa,Mwachilele Health Post,50070019,Health Centre,-15.43757406,28.94480252
Lusaka,Rufunsa,Namanongo Health Post,50070020,Health Centre,-15.41875091,29.13247691
Lusaka,Rufunsa,Nyangwena,50070021,Health Centre,-15.4367655,28.94515296
Lusaka,Rufunsa,Rufunsa,50070022,Health Centre,-15.08156071,29.63616894
Lusaka,Rufunsa,Rutech Health Post,50070023,Health Centre,-15.27252114,29.21909519
Lusaka,Rufunsa,Shikabeta,50070024,Health Centre,-14.86288938,29.66545576
Lusaka,Rufunsa,Tengama Health Post,50070025,Health Centre,-15.36886445,29.02688968
Central,Shibuyunji,Chabota Health Post,50080001,Health Centre,-15.19673922,27.55468391
Central,Shibuyunji,Kapyanga,50080002,Health Centre,-15.12636721,27.46748893
Central,Chibombo,Kamaila Health Post,10010012,Health Centre,-15.09634356,28.30933084
Central,Kabwe,Makupu B Health Post,10050033,Health Centre,-14.38963,28.323515
Central,Shibuyunji,Kayanga Health Post,50080003,Health Centre,-15.1410988,27.60838549
Central,Shibuyunji,Mine,50080008,Health Centre,,
Central,Shibuyunji,Mukulaikwa,50080006,Health Centre,-15.2741409,27.73390048
Central,Shibuyunji,Mwembezhi,50080005,Health Centre,-15.3889,27.78592333
Central,Shibuyunji,Nampundwe,50080007,Health Centre,-15.51003199,27.92696638
Central,Shibuyunji,Shabasonje,50080009,Health Centre,-15.47487,27.77969167
Central,Shibuyunji,Shachele Health Post,50080010,Health Centre,-15.44963258,27.82977048
Central,Shibuyunji,Sichobo,50080011,Health Centre,, 
Luapula,Chembe,Chembe,40010001,Health Centre,-11.96781711,28.74586518
Luapula,Chembe,Chipete,40010002,Health Centre,-11.84547426,28.50107548
Luapula,Chembe,Kasomalwela,40010006,Health Centre,-11.9345915,28.91284119
Luapula,Chembe,Kundamfumu,40010007,Health Centre,-11.54700854,28.75334252
Luapula,Chembe,Lukola,40010008,Health Centre,-11.73373911,28.73639591
Luapula,Chienge,Chienge District Hospital,40020001,Health Centre,-8.655113652,29.16802157
Luapula,Chienge,Chipungu,40020002,Health Centre,-8.537841565,29.02240151
Luapula,Chienge,Kabole,40020003,Health Centre,-9.043690595,29.04720121
Luapula,Chienge,Kabwe,40020004,Health Centre,-9.077180699,28.98742206
Luapula,Chienge,Kalembwe,40020005,Health Centre,-8.782562711,29.11786267
Luapula,Chienge,Kapako Health Post,40020006,Health Centre,-9.105258,29.074028
Luapula,Chienge,Lambwe Chikwama Health Post,40020007,Health Centre,-8.428054894,29.37941434
Luapula,Chienge,Lambwe Chomba,40020008,Health Centre,-8.41134205,29.5991031
Luapula,Chienge,Lunchinda Health Post,40020009,Health Centre,-8.507264927,28.99097926
Luapula,Chienge,Mukunta,40020010,Health Centre,-8.886053273,29.08350734
Luapula,Chienge,Mwabu,40020011,Health Centre,-8.5696268,29.0869744
Luapula,Chienge,Puta,40020012,Health Centre,-8.688023896,29.14732179
Luapula,Chienge,Sambula,40020013,Health Centre,-8.782562711,29.11786267
Luapula,Chipili,Chipili,40030001,Health Centre,-10.73163353,29.09371995
Luapula,Chipili,Chisheta,40030002,Health Centre,-10.65074518,28.9153907
Luapula,Chipili,Kalundu,40030004,Health Centre,-10.28760626,29.3882602
Central,Kabwe,Mpima Dairy,10050036,Health Centre,-14.36311404,28.57785314
Luapula,Chipili,Kamwami Health Post,40031003,Health Centre,-10.477356,29.04787
Luapula,Chipili,Kaoma Makasa,40030005,Health Centre,-10.56231135,29.31339511
Luapula,Chipili,Luminu,40030006,Health Centre,-10.38471738,29.16549683
Luapula,Chipili,Lupososhi,40030007,Health Centre,-10.35055115,29.47501305
Luapula,Chipili,Mukabi Health Post,40030008,Health Centre,-10.41407733,28.91068842
Luapula,Chipili,Mukanga Health Post,40030009,Health Centre,-10.25985092,29.18529719
Luapula,Chipili,Mukonshi,40030010,Health Centre,-10.14324032,29.16551407
Luapula,Chipili,Mupeta,40030012,Health Centre,-10.40848283,29.01561234
Central,Kabwe,Mpima Correctional,10050035,Health Centre,,
Luapula,Chipili,Musalango Health Post,40030013,Health Centre,-10.29866573,28.91343427
Luapula,Chipili,Mutipula,40030015,Health Centre,-10.60253687,28.9842602
Luapula,Chipili,Mwenda,40030016,Health Centre,-10.48044399,29.18267978
Luapula,Kawambwa,Buyaka Health Post,40040003,Health Centre,-9.735878333,29.40385
Luapula,Kawambwa,Chama,40040001,Health Centre,-9.777655,29.42473333
Luapula,Kawambwa,Chibote,40040002,Health Centre,-9.863755,29.54712833
Luapula,Kawambwa,Chimpempe,40040004,Health Centre,-9.54766,29.43202333
Luapula,Kawambwa,Chimpili,40040005,Health Centre,-10.01353667,29.89878
Luapula,Kawambwa,Chitondo,40040006,Health Centre,-9.9095,29.27883
Central,Kabwe,Mukobeko Township,10050039,Health Centre,-14.41913827,28.40915802
Luapula,Kawambwa,Chitotela Health Post,40040007,Health Centre,-9.624773333,29.45595333
Luapula,Kawambwa,Kabanda,40040008,Health Centre,-9.660711667,29.44569833
Luapula,Kawambwa,Kabila,40040009,Health Centre,-9.796843333,29.31109333
Luapula,Kawambwa,Kala Refugee Camp,40040010,Health Centre,,
Luapula,Kawambwa,Kanengo,40040011,Health Centre,-9.953526667,29.34632333
Luapula,Kawambwa,Kapako Health Post,40040012,Health Centre,-9.716565,29.20506833
Luapula,Kawambwa,Kawambwa District Hospital,40040013,Health Centre,-9.7998,29.074835
Luapula,Kawambwa,Kawambwa HAHC,40040014,Health Centre,-9.793458333,29.07675
Luapula,Kawambwa,Lusambo Health Post,40040016,Health Centre,-9.815676667,29.12663333
Luapula,Kawambwa,Mambwe Health Post,40040018,Health Centre,-9.674621667,29.62279167
Luapula,Kawambwa,Mufwaya,40040019,Health Centre,-9.677256667,29.08427667
Luapula,Kawambwa,Munkanta,40040020,Health Centre,-9.80431,29.051125
Luapula,Kawambwa,Mushota Zonal,40040021,Health Centre,, 
Luapula,Kawambwa,Musungu,40040022,Health Centre,-10.19427333,29.70757
Luapula,Kawambwa,Muyembe,40040023,Health Centre,-9.992125,29.11726667
Luapula,Kawambwa,Shikalaba Health Post,40040024,Health Centre,-9.799655,29.226685
Central,Kabwe,Munga Health Post,10050042,Health Centre,-14.46762645,28.23481328
Luapula,Lunga,Bwalya Mponda,40050001,Health Centre,-11.66778741,30.06812096
Luapula,Lunga,Kalima Nkonde,40050002,Health Centre,-11.44171883,30.06845355
Luapula,Lunga,Kasoma Lunga,40050003,Health Centre,-11.40707037,30.1391834
Luapula,Lunga,Nsalushi,40050004,Health Centre,-11.54301867,30.32072067
Luapula,Mansa,Buntungwa,40060003,Health Centre,-11.20572333,28.88253167
Luapula,Mansa,Chansa Health Post,40060005,Health Centre,-11.22519277,28.51417383
Luapula,Mansa,Chikonshi Health Post,40060006,Health Centre,-11.33796682,28.65915421
Luapula,Mansa,Chisembe,40060007,Health Centre,-11.07524264,28.91067929
Central,Kabwe,Munyama Health Post,10050043,Health Centre,-14.650498,28.42341
Luapula,Mansa,Chisunka,40060009,Health Centre,-10.76601881,28.8312565
Luapula,Mansa,Fibale Health Post,40060010,Health Centre,-11.22233,28.86430167
Luapula,Mansa,Fimpulu,40060011,Health Centre,-11.40716626,28.82668273
Luapula,Mansa,James Health Post,40060014,Health Centre,-11.40418414,29.27763968
Luapula,Mansa,Kabunda,40060015,Health Centre,-11.21137774,28.79353603
Luapula,Mansa,Kafula Health Post,40060016,Health Centre,-11.30718231,29.36531338
Luapula,Mansa,Kalaba,40060017,Health Centre,, 
Luapula,Mansa,Kale Health Post,40060018,Health Centre,-11.271835,29.201562
Luapula,Mansa,Kalyongo,40060019,Health Centre,-11.509423,28.40180791
Central,Kabwe,Nakoli,10050044,Health Centre,-14.40780905,28.44984616
Luapula,Mansa,Kansenga,40060020,Health Centre,-11.32163363,29.180896
Luapula,Mansa,Kapisha Health Post,40060021,Health Centre,-11.34568856,29.30887559
Luapula,Mansa,Kasanse Health Post,40060022,Health Centre,-11.28798834,29.56374345
Luapula,Mansa,Katangwe,40060023,Health Centre,-11.29034671,28.98271822
Luapula,Mansa,Lubende,40060026,Health Centre,-11.27704526,29.28537014
Luapula,Mansa,Mabo Health Post,40060027,Health Centre,-11.45568432,28.43197572
Luapula,Mansa,Mabumba,40060028,Health Centre,-11.26628528,29.05366139
Luapula,Mansa,Malamba Health Post,40060029,Health Centre,-11.47640639,28.79269335
Central,Chibombo,Kanwanjiba Health Post,10010013,Health Centre,-15.14574924,27.81432343
Central,Kabwe,Natuseko,10050045,Health Centre,-14.40304803,28.459674
Luapula,Mansa,Mano,40060030,Health Centre,-10.89634366,29.0014382
Luapula,Mansa,Mansa General Hospital,40060032,Health Centre,-11.246015,28.895245
Luapula,Mansa,Mantumbusa,40060033,Health Centre,-11.22446449,28.97086705
Luapula,Mansa,Masaba Health Post,40060034,Health Centre,-11.23846333,28.78015
Luapula,Mansa,Mashimi Health Post,40060035,Health Centre,-11.3790407,29.37988339
Luapula,Mansa,Matanda,40060036,Health Centre,-11.37843452,28.46097945
Luapula,Mansa,Matelo Health Post,40060037,Health Centre,-11.1848581,28.71666992
Luapula,Mansa,Mikula Health Post,40060039,Health Centre,-11.34486919,28.92669132
Luapula,Mansa,Moloshi,40060040,Health Centre,-11.20752969,29.45853431
Central,Kabwe,Ngungu,10050047,Health Centre,-14.3927912,28.44410144
Luapula,Mansa,Mufuma Maternity Annex Health Post,40060041,Health Centre,-11.27544079,29.15536975
Luapula,Mansa,Musaba Health Post,40060042,Health Centre,-11.23846333,28.78015
Luapula,Mansa,Musaila,40060043,Health Centre,-11.35445444,29.48882466
Luapula,Mansa,Mutiti,40060044,Health Centre,-11.14441642,28.95176418
Luapula,Mansa,Mutwewankoko,40060045,Health Centre,-10.69605977,28.92489142
Luapula,Mansa,Muwang'uni,40060046,Health Centre,-11.2847947,28.86933555
Central,Kabwe,Nkhrumah Teachers College Health Post,10050048,Health Centre,-14.44642716,28.46678511
Luapula,Mansa,Namwandwe Health Post,40060047,Health Centre,-11.20611667,28.91947833
Luapula,Mansa,Ndoba,40060048,Health Centre,-11.26679549,29.52824391
Luapula,Mansa,Paul Mambilima,40060050,Health Centre,-11.13561959,28.55463529
Luapula,Mansa,Sande Health Post,40060051,Health Centre,-11.25080167,28.93166167
Luapula,Mansa,Senama,40060052,Health Centre,-11.17775333,28.884805
Luapula,Mansa,Sepe Health Post,40060053,Health Centre,-11.291659,28.497505
Luapula,Mansa,Shoti Health Post,40060054,Health Centre,-11.22203114,29.0495323
Luapula,Mansa,Tayali Health Post,40060055,Health Centre,-11.27845,28.92958167
Luapula,Milenge,Changwe Lungo Health Post,40070001,Health Centre,-12.33721272,29.1662503
Luapula,Milenge,Chibende,40070002,Health Centre,-11.87074341,29.04899487
Luapula,Milenge,Kabange,40070003,Health Centre,-11.43870218,29.00384903
Luapula,Milenge,Kapalala,40070004,Health Centre,, 
Luapula,Milenge,Lungo Mukuta,40070005,Health Centre,, 
Luapula,Milenge,Lwela,40070006,Health Centre,-11.82414163,29.0788364
Central,Kabwe,Pollen,10050052,Health Centre,-14.44116856,28.46286111
Luapula,Milenge,Milenge District Hospital,40070007,Health Centre,-12.37080051,29.4424242
Luapula,Milenge,Milenge East 7,40070008,Health Centre,-12.416325,29.485045
Luapula,Milenge,Mulumbi,40070009,Health Centre,-11.55640204,29.16615323
Luapula,Milenge,Sokontwe,40070010,Health Centre,-12.30616833,29.45139167
Luapula,Mwansabombwe,Chipunka,40080001,Health Centre,-10.01360516,28.70501898
Luapula,Mwansabombwe,Kazembe Zonal,40080002,Health Centre,-9.82010752,28.7613327
Luapula,Mwansabombwe,Lufubu,40080003,Health Centre,-9.893433516,28.79509495
Luapula,Mwansabombwe,Mbereshi Mission Hospital,40080005,Health Centre,-9.75328703,28.79638783
Luapula,Mwansabombwe,Mbereshi Mission HAHC,40080004,Health Centre,-9.75328069,28.79640257
Luapula,Mwansabombwe,Mukamba,40080006,Health Centre,-9.74829767,28.76614836
Luapula,Mwansabombwe,Salanga,40080007,Health Centre,-9.962209971,28.73053945
Luapula,Mwense,Chalwe,40090001,Health Centre,-10.60600586,28.64776812
Luapula,Mwense,Chibondo,40090002,Health Centre,-10.72499719,28.67098785
Luapula,Mwense,Kabila Health Post,40090003,Health Centre,-10.5578342,28.69399577
Central,Kabwe,Railway Surgery,10050054,Health Centre,-14.447915,28.44213667
Luapula,Mwense,Kankomba Health Post,40090004,Health Centre,-10.33712667,28.67905833
Luapula,Mwense,Kapamba,40090005,Health Centre,-10.17733667,28.76555333
Luapula,Mwense,Kashiba,40090006,Health Centre,-10.44748953,28.65509888
Luapula,Mwense,Katuta,40090007,Health Centre,-10.69542299,28.59797608
Luapula,Mwense,Kawama,40090008,Health Centre,-10.09489,28.63724
Luapula,Mwense,Loto Health Post,40090009,Health Centre,-10.29355833,28.727125
Luapula,Mwense,Luamfwe Health Post,40090010,Health Centre,-10.059631,28.673138
Luapula,Mwense,Lubunda,40090011,Health Centre,-10.31223333,28.67323333
Luapula,Mwense,Lukwesa,40090012,Health Centre,-10.168825,28.636095
Luapula,Mwense,Mambilima Mission Hospital,40090013,Health Centre,-10.527264,28.652403
Central,Kabwe,Ranchhod Hospice,10050055,Health Centre,-14.45175912,28.46455903
Luapula,Mwense,Mubende,40090014,Health Centre,-10.28761833,28.77848667
Luapula,Mwense,Mununshi,40090015,Health Centre,-10.01651833,28.694275
Luapula,Mwense,Musangu Zonal,40090017,Health Centre,-10.24696833,28.64935167
Luapula,Mwense,Mwense District Hospital,40090018,Health Centre,-10.35948667,28.69394833
Luapula,Mwense,Mweshi Health Post,40090020,Health Centre,-10.69864616,28.70190374
Luapula,Nchelenge,Chabilikila,40100002,Health Centre,-9.54817,28.73696708
Luapula,Nchelenge,Chisenga Island,40100003,Health Centre,-9.549099325,28.60318334
Luapula,Nchelenge,Kabalenge,40100004,Health Centre,-9.770244326,28.86143231
Luapula,Nchelenge,Kabuta,40100005,Health Centre,-9.174685992,28.84779393
Luapula,Nchelenge,Kafutuma,40100006,Health Centre,-9.241565531,28.80735053
Luapula,Nchelenge,Kambwali,40100007,Health Centre,-9.413927493,28.73452165
Luapula,Nchelenge,Kanyembo,40100008,Health Centre,-9.631739625,28.74348423
Luapula,Nchelenge,Kapambwe Health Post,40100009,Health Centre,-9.54316982,28.70613856
Luapula,Nchelenge,Kashikishi HAHC,40101001,Health Centre,-9.318647,28.749435
Luapula,Nchelenge,Kilwa Island,40100013,Health Centre,-9.271589383,28.40808349
Luapula,Nchelenge,Lushiba Health Post,40100014,Health Centre,-9.33587988,28.74535366
Luapula,Nchelenge,Mulwe Health Post,40100015,Health Centre,-9.45714942,28.74847821
Central,Kabwe,ZAF Kabwe,10050056,Health Centre,-15.436095,28.33617167
Luapula,Nchelenge,Nchelenge,40100017,Health Centre,, 
Luapula,Nchelenge,St. Paul's Mission General Hospital,40100019,Health Centre,-9.306690063,28.74129681
Luapula,Chifunabuli,Chibuye,40110001,Health Centre,-11.14220333,29.47934167
Luapula,Samfya,Chikunyu Health Post,40110002,Health Centre,-11.47082848,29.65923635
Luapula,Chifunabuli,Chimanda,40110004,Health Centre,-10.82169833,29.486035
Luapula,Samfya,Chimembe,40110005,Health Centre,-11.5199352,29.78610481
Luapula,Samfya,Chinsaka,40110006,Health Centre,-11.5638376,29.79634337
Luapula,Samfya,Chipako,40110007,Health Centre,-11.54865372,29.67585091
Luapula,Chifunabuli,Chishi Island,40110008,Health Centre,-11.08542763,29.84195709
Central,Chibombo,Kaparu,10010014,Health Centre,-14.97392179,27.75370533
Luapula,Samfya,Fwaka East 8,40110009,Health Centre,-12.14958942,29.43861333
Luapula,Samfya,Kabongo,40110010,Health Centre,-11.75995789,29.51318047
Luapula,Samfya,Kalasa Mukoso,40110011,Health Centre,-11.81811284,29.59431181
Luapula,Samfya,Kapata East 1,40110012,Health Centre,-11.63748182,29.73878164
Luapula,Samfya,Kapata,40110013,Health Centre,-11.68174904,29.71140344
Luapula,Samfya,Kasanka,40110016,Health Centre,-11.96782784,29.51288773
Luapula,Samfya,Kasoma Bangweulu Health Post,40110017,Health Centre,-11.3865768,29.5682348
Luapula,Chifunabuli,Kasuba,40110018,Health Centre,-10.74684318,29.62620033
Luapula,Samfya,Katanshya,40110019,Health Centre,-11.45766107,29.72480915
Luapula,Chifunabuli,Lubwe Mission HAHC,40110021,Health Centre,, 
Luapula,Chifunabuli,Lubwe Mission Hospital,40110020,Health Centre,-11.11911,29.64579833
Luapula,Samfya,Mabo Kunda,40110022,Health Centre,-11.7369552,29.62152201
Luapula,Samfya,Mano Health Post,40110023,Health Centre,-11.4962065,29.55136844
Luapula,Chifunabuli,Mbabala Island,40110024,Health Centre,-11.22001655,29.80126731
Luapula,Chifunabuli,Miponda,40110025,Health Centre,-10.94085667,29.547375
Luapula,Samfya,Mpanta,40110026,Health Centre,-11.45676559,29.81839008
Luapula,Chifunabuli,Mundubi,40110027,Health Centre,-11.175435,29.573995
Luapula,Samfya,Mungulube,40110028,Health Centre,-11.60906487,29.44822346
Central,Kabwe,ZNS Kabwe,10050057,Health Centre,,
Luapula,Samfya,Mushili,40110029,Health Centre,-12.14484809,29.55229937
Luapula,Chifunabuli,Mwansakombe,40110030,Health Centre,-10.88895273,29.66035549
Luapula,Chifunabuli,Nambale,40110031,Health Centre,-10.74523572,29.78096891
Luapula,Samfya,Ninge,40110032,Health Centre,-11.66306969,29.62815758
Luapula,Samfya,Njipi,40110033,Health Centre,-11.53113471,29.71792098
Luapula,Samfya,Samfya District Hospital,40110034,Health Centre,-11.36948498,29.55388645
Luapula,Samfya,Samfya Stage II,40110035,Health Centre,-11.36983177,29.55425398
Luapula,Chifunabuli,Shikamushile,40110036,Health Centre,-10.97293072,29.69584781
Muchinga,Chama,Buli,55010001,Health Centre,-11.34843882,33.08275868
Muchinga,Chama,Chama District Hospital,55010002,Health Centre,-11.22782739,33.17449912
Central,Kapiri-Mposhi,Chambulumina Health Post,10060002,Health Centre,-13.92981283,28.7854731
Muchinga,Chama,Chama HAHC,55010003,Health Centre,-11.21247527,33.15650184
Muchinga,Chama,Chibale,55010004,Health Centre,-10.49528274,32.78782191
Muchinga,Chama,Chifunda,55010005,Health Centre,-11.87296187,32.57566511
Muchinga,Chama,Chigoma,55010006,Health Centre,-11.6893519,32.70167587
Muchinga,Chama,Chikwa,55010007,Health Centre,-11.68202774,32.77472332
Muchinga,Chama,Chilubanama,55010008,Health Centre,-10.68707236,32.37175981
Muchinga,Chama,Chitukula Health Post,55010009,Health Centre,-11.44746657,33.03847223
Muchinga,Chama,Fulaza,55010010,Health Centre,-11.44746657,33.03847223
Muchinga,Chama,Kalovya Health Post,55010011,Health Centre,-11.53036402,33.22690168
Muchinga,Chama,Kambombo,55010012,Health Centre,-11.53036402,33.22690168
Central,Kapiri-Mposhi,Chankomo,10060003,Health Centre,-13.90257868,29.04772057
Muchinga,Chama,Kambwili,55010013,Health Centre,-11.09404878,33.15091403
Muchinga,Chama,Kamfutu Health Post,55010014,Health Centre,-11.25144818,33.35891197
Muchinga,Chama,Kanyelele,55010015,Health Centre,-10.74762657,33.48305441
Muchinga,Chama,Kapichila Senga,55010016,Health Centre,-11.54609027,32.88515121
Muchinga,Chama,Kapilingizya Health Post,55010017,Health Centre,-11.05197093,33.04815441
Muchinga,Chama,Kasela Health Post,55010018,Health Centre,-12.00577277,32.70468673
Muchinga,Chama,Lundu,55010019,Health Centre,-10.998686,32.38344567
Muchinga,Chama,Manga Mission,55010020,Health Centre,-11.77522916,32.84569457
Muchinga,Chama,Mapamba,55010021,Health Centre,-12.1216132,32.43910546
Muchinga,Chama,Mphyanakunda,55010022,Health Centre,-11.23000218,32.80691343
Central,Kapiri-Mposhi,Chapusha Health post,10060004,Health Centre,-14.05364453,28.18036041
Muchinga,Chama,Mulilo,55010023,Health Centre,-10.53992355,32.94629443
Muchinga,Chama,Mwalala,55010024,Health Centre,-11.17423074,32.90495714
Muchinga,Chama,Nthonkho,55010025,Health Centre,-11.02140078,33.03938108
Muchinga,Chama,Pondo,55010026,Health Centre,-11.48421829,32.64285914
Muchinga,Chama,Sitwe,55010027,Health Centre,-10.83140168,33.19072396
Muchinga,Chama,Tembwe,55010028,Health Centre,-11.3602859,32.88941097
Muchinga,Chinsali,Chinsali General Hospital,55020001,Health Centre,-10.56084966,32.07184097
Muchinga,Chinsali,Chinsali HAHC,55020002,Health Centre,-10.55243557,32.06659978
Muchinga,Chinsali,Chunga,55020003,Health Centre,-9.82919818,32.51202348
Muchinga,Chinsali,Kalela Health Post,55020004,Health Centre,-9.905631161,32.26109109
Central,Kapiri-Mposhi,Chawama (Kapiri-Mposhi),10060005,Health Centre,-13.94075496,28.66728068
Muchinga,Chinsali,Kalwala Health Post,55020005,Health Centre,-10.59543261,32.14073396
